"","E1A","E1B","E1C","E2A","E2B","E2C","E3A","E3B","E3C","E4A","E4B","E4C","ETEX","ETF","S1A","S1B","S1C","S2A","S2B","S2C","S3A","S3B","S3C","S4A","S4B","S4C","STEX1","Subgroups","Infragroups","Class","Order","Family","Genus","Species"
"ASV297",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV298",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV299",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,"","","","","","",""
"ASV3",729,171,0,860,875,591,2643,3399,1484,9229,7172,6190,3793,0,62,92,0,108,550,370,811,1414,233,120,2189,1871,0,"Viridiplantae","Streptophyta","Pinopsida","Pinales","Pinaceae",NA,NA
"ASV30",31,0,0,72,0,0,111,35,0,17,16,25,0,432,0,0,0,1008,251,84,696,96,56,30,80,286,0,"Viridiplantae","Streptophyta","Polypodiopsida","Polypodiales","Dryopteridaceae",NA,NA
"ASV300",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,"","","","","","",""
"ASV301",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Sapindales","Anacardiaceae",NA,NA
"ASV302",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV304",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV306",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV307",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV308",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV309",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV31",403,421,314,80,0,0,94,130,115,93,0,0,0,0,292,111,588,0,114,132,130,0,0,0,71,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Saxifragales","Saxifragaceae","Saxifraga","Saxifraga_oppositifolia"
"ASV310",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,"","","","","","",""
"ASV312",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Asparagales","Asparagaceae",NA,NA
"ASV313",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV314",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV315",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV316",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,"","","","","","",""
"ASV317",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,"","","","","","",""
"ASV318",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Ranunculales","Ranunculaceae",NA,NA
"ASV319",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV32",788,955,657,26,6,0,21,0,7,20,13,25,0,0,206,131,103,0,0,0,33,0,0,0,0,18,0,"Viridiplantae","Streptophyta","Magnoliopsida","Poales","Cyperaceae","Carex",NA
"ASV320",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV321",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Robinia",NA
"ASV322",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV323",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,"","","","","","",""
"ASV324",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,"","","","","","",""
"ASV325",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,"","","","","","",""
"ASV326",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV327",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Saxifragales","Crassulaceae",NA,NA
"ASV328",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV329",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV33",245,436,346,19,0,0,0,23,0,0,0,0,0,0,1159,0,377,0,0,0,27,0,0,0,101,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Plantaginaceae","Plantago",NA
"ASV330",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV331",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV332",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV333",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV335",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV336",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV338",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV339",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,"","","","","","",""
"ASV34",38,30,72,0,0,0,0,15,0,0,0,0,0,1646,29,0,0,110,145,0,122,274,40,0,0,206,0,"","","","","","",""
"ASV340",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,"","","","","","",""
"ASV341",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,"","","","","","",""
"ASV342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,"","","","","","",""
"ASV343",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,"","","","","","",""
"ASV344",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,"","","","","","",""
"ASV345",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,"","","","","","",""
"ASV346",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,"","","","","","",""
"ASV347",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Cannabaceae","Humulus",NA
"ASV348",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Pinopsida","Pinales","Pinaceae","Abies",NA
"ASV349",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2711,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV350",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV351",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV352",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV353",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV355",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV356",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV357",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV358",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"","","","","","",""
"ASV359",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"","","","","","",""
"ASV36",502,749,545,0,0,37,0,0,76,100,18,0,0,0,64,0,96,0,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV360",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"","","","","","",""
"ASV361",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"","","","","","",""
"ASV362",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"","","","","","",""
"ASV363",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,"","","","","","",""
"ASV364",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,"","","","","","",""
"ASV365",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,"","","","","","",""
"ASV366",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,"","","","","","",""
"ASV367",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,"","","","","","",""
"ASV368",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"","","","","","",""
"ASV369",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"","","","","","",""
"ASV37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1964,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV38",0,0,0,0,0,0,0,0,0,99,153,1055,0,0,0,0,0,0,0,0,0,0,0,0,102,446,0,"","","","","","",""
"ASV39",0,0,0,143,21,0,70,50,0,312,179,149,0,0,0,0,0,612,0,0,0,125,0,16,46,161,0,"","","","","","",""
"ASV40",29,21,0,19,0,0,0,0,0,8,0,5,0,0,1547,0,0,207,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV41",226,202,409,0,0,37,0,0,24,44,178,94,0,0,409,96,568,75,0,0,0,0,0,0,23,77,0,"Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae",NA,NA
"ASV43",62,25,0,0,0,0,0,0,0,0,0,18,0,0,1709,0,0,0,0,0,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Campanulaceae",NA,NA
"ASV44",4,0,0,0,0,0,11,0,0,0,0,6,0,0,79,0,0,0,0,0,0,0,0,0,1642,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Silene",NA
"ASV45",155,206,131,0,0,0,0,0,0,0,0,0,0,0,735,119,275,0,0,0,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae",NA,NA
"ASV47",311,302,213,0,37,0,0,0,0,0,0,94,0,0,0,230,411,0,0,0,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Ericales","Ericaceae","Calluna","Calluna_vulgaris"
"ASV48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,1222,277,0,22,176,0,12,23,0,0,0,0,"","","","","","",""
"ASV49",9,5,7,0,0,0,0,0,0,0,0,10,0,0,200,688,629,0,6,0,10,0,0,0,0,0,0,"","","","","","",""
"ASV5",0,0,0,0,0,0,0,0,0,655,303,117,0,0,0,0,0,0,0,0,0,0,12,26481,123,1216,0,"Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Oleaceae","Fraxinus","Fraxinus_excelsior"
"ASV52",141,86,0,0,0,0,0,0,0,0,0,0,0,0,1224,0,0,0,0,0,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Potentilla",NA
"ASV54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,252,146,442,333,14,15,0,7,77,0,"","","","","","",""
"ASV55",56,205,1065,0,0,0,0,34,0,46,47,0,0,0,105,0,322,99,0,150,0,28,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Myrtales","Onagraceae",NA,NA
"ASV58",0,0,0,0,0,0,0,0,0,0,11,0,0,0,1359,0,0,0,0,0,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae",NA,NA
"ASV6",108,50,0,993,1646,423,1315,1266,1101,1324,1523,2100,6576,0,57,161,0,255,1005,1099,691,813,120,20,776,825,0,"Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae",NA,NA
"ASV60",0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,835,0,217,0,5,0,0,0,0,0,"","","","","","",""
"ASV61",96,298,193,9,12,94,14,20,22,21,0,0,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Poales","Juncaceae","Juncus",NA
"ASV62",185,500,240,0,35,0,0,0,44,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Potentilla",NA
"ASV63",18,0,66,172,81,39,101,69,78,93,94,117,0,0,0,0,0,0,0,67,4,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus",NA
"ASV64",47,67,138,132,35,0,57,0,0,0,0,0,0,0,510,0,0,0,0,79,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae",NA,NA
"ASV66",146,564,0,0,0,0,0,0,0,52,0,0,0,0,55,0,94,0,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV68",0,0,889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Plantaginaceae","Veronica",NA
"ASV7",0,138,0,0,0,50,13,0,0,0,0,17,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Plantaginaceae","Plantago",NA
"ASV70",12,25,0,0,0,0,0,0,0,0,0,0,0,0,633,0,0,0,0,169,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Anthoxanthum",NA
"ASV71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,713,37,0,0,0,0,0,0,"","","","","","",""
"ASV72",11,0,225,0,0,16,15,0,0,0,16,42,0,0,0,0,173,0,0,0,0,237,0,0,0,0,0,"","","","","","",""
"ASV74",95,158,111,8,5,11,0,22,0,9,5,23,0,0,0,45,90,0,0,29,0,24,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Poales","Juncaceae","Luzula",NA
"ASV75",63,0,0,51,92,42,21,48,16,22,34,33,0,0,0,0,0,0,76,28,0,0,0,53,82,0,0,"Viridiplantae","Streptophyta","Pinopsida","Cupressales","Cupressaceae",NA,NA
"ASV77",156,35,70,16,13,0,0,24,30,17,7,36,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Liliales","Melanthiaceae","Veratrum",NA
"ASV78",0,0,0,0,165,11,47,0,0,0,109,90,0,0,0,0,0,13,0,0,0,85,20,9,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Saxifragales","Saxifragaceae","Saxifraga","Saxifraga_rotundifolia"
"ASV8",74,1430,34,106,64,69,156,231,94,118,319,183,0,0,74,45,0,0,0,0,55,17,16088,109,0,204,0,"","","","","","",""
"ASV80",118,100,53,58,0,0,0,10,0,0,9,0,0,0,108,0,0,0,59,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV81",14,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,58,49,51,108,110,42,35,0,0,0,0,"","","","","","",""
"ASV82",18,0,0,0,0,0,0,0,0,0,0,0,0,0,41,19,134,27,43,58,89,12,11,0,40,9,0,"","","","","","",""
"ASV83",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,75,310,0,0,0,0,0,"","","","","","",""
"ASV88",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0,0,0,173,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Ericales","Ericaceae","Vaccinium","Vaccinium_vitis-idaea"
"ASV89",0,100,0,0,0,0,0,9,0,0,0,0,0,0,0,63,0,58,102,0,70,0,0,0,0,0,0,"","","","","","",""
"ASV9",4162,2640,3500,664,228,731,791,615,746,549,582,659,0,0,0,233,172,0,475,217,119,0,79,14,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Ericales","Ericaceae",NA,NA
"ASV90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,297,36,0,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV91",204,32,31,0,0,0,0,58,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,"","","","","","",""
"ASV92",31,64,114,0,0,0,20,0,0,4,0,0,0,0,0,0,0,65,0,0,19,16,0,7,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Geraniales","Geraniaceae","Geranium",NA
"ASV94",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,0,0,0,"","","","","","",""
"ASV97",36,169,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV99",0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,7,86,37,15,29,59,22,20,0,16,15,0,"","","","","","",""
