ASV;Subgroups;Infragroups;Class;Order;Family;Genus;Species
ASV114;;;;;;;
ASV116;;;;;;;
ASV112;Viridiplantae;Streptophyta;Magnoliopsida;Dipsacales;Caprifoliaceae;Valeriana;NA
ASV115;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Juncaceae;Juncus;NA
ASV118;Viridiplantae;Streptophyta;Magnoliopsida;Solanales;Solanaceae;Solanum;NA
ASV99;;;;;;;
ASV104;;;;;;;
ASV80;;;;;;;
ASV32;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Cyperaceae;Carex;NA
ASV117;Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Hypericaceae;NA;NA
ASV113;;;;;;;
ASV123;Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Lamiaceae;Salvia;Salvia_pratensis
ASV107;;;;;;;
ASV127;;;;;;;
ASV122;;;;;;;
ASV120;;;;;;;
ASV130;;;;;;;
ASV134;;;;;;;
ASV132;;;;;;;
ASV135;;;;;;;
ASV141;;;;;;;
ASV145;;;;;;;
ASV140;;;;;;;
ASV139;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Ulmaceae;NA;NA
ASV128;Viridiplantae;Streptophyta;Magnoliopsida;Dipsacales;Caprifoliaceae;Knautia;NA
ASV151;;;;;;;
ASV131;Viridiplantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;NA;NA
ASV133;Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Trifolium;NA
ASV157;;;;;;;
ASV119;;;;;;;
ASV129;;;;;;;
ASV142;Viridiplantae;Streptophyta;Magnoliopsida;Fagales;Fagaceae;NA;NA
ASV155;;;;;;;
ASV126;Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;NA;NA
ASV160;Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Plantaginaceae;Veronica;NA
ASV163;;;;;;;
ASV166;Viridiplantae;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae;Capsella;Capsella_rubella
ASV161;Viridiplantae;Streptophyta;Magnoliopsida;Apiales;Apiaceae;NA;NA
ASV162;Viridiplantae;Streptophyta;Magnoliopsida;Sapindales;Sapindaceae;Acer;NA
ASV164;Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Violaceae;Viola;Viola_biflora
ASV124;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;NA;NA
ASV159;;;;;;;
ASV125;Viridiplantae;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae;NA;NA
ASV167;;;;;;;
ASV143;;;;;;;
ASV152;;;;;;;
ASV137;;;;;;;
ASV136;Viridiplantae;Streptophyta;Magnoliopsida;Ranunculales;Ranunculaceae;NA;NA
ASV156;Viridiplantae;Streptophyta;Magnoliopsida;Caryophyllales;Nyctaginaceae;Bougainvillea;Bougainvillea_sp.
ASV100;;;;;;;
ASV174;;;;;;;
ASV149;;;;;;;
ASV172;Viridiplantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;NA;NA
ASV176;Viridiplantae;Streptophyta;Magnoliopsida;Gentianales;Rubiaceae;Galium;NA
ASV168;;;;;;;
ASV169;;;;;;;
ASV177;Viridiplantae;Streptophyta;Pinopsida;Pinales;Pinaceae;Picea;NA
ASV181;Viridiplantae;Streptophyta;Magnoliopsida;Ericales;Actinidiaceae;Actinidia;NA
ASV180;;;;;;;
ASV184;Viridiplantae;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae;NA;NA
ASV187;;;;;;;
ASV199;;;;;;;
ASV185;Viridiplantae;Streptophyta;Pinopsida;Cupressales;Cupressaceae;NA;NA
ASV202;;;;;;;
ASV196;;;;;;;
ASV186;Viridiplantae;Streptophyta;Magnoliopsida;Caryophyllales;Caryophyllaceae;NA;NA
ASV153;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Cyperaceae;Carex;NA
ASV205;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Urticaceae;Urtica;Urtica_dioica
ASV173;Viridiplantae;Streptophyta;Magnoliopsida;Zingiberales;Musaceae;Musa;NA
ASV190;;;;;;;
ASV207;;;;;;;
ASV182;Viridiplantae;Streptophyta;Magnoliopsida;Gentianales;Gentianaceae;NA;NA
ASV193;Viridiplantae;Streptophyta;Magnoliopsida;Asparagales;Orchidaceae;Gymnadenia;NA
ASV178;Viridiplantae;Streptophyta;Magnoliopsida;Dipsacales;Caprifoliaceae;Valeriana;NA
ASV189;;;;;;;
ASV194;Viridiplantae;Streptophyta;Pinopsida;Cupressales;Cupressaceae;Juniperus;Juniperus_phoenicea
ASV209;;;;;;;
ASV192;;;;;;;
ASV212;;;;;;;
ASV213;;;;;;;
ASV171;Viridiplantae;Streptophyta;Magnoliopsida;Caryophyllales;Chenopodiaceae;NA;NA
ASV195;;;;;;;
ASV188;;;;;;;
ASV200;Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Plantaginaceae;Veronica;NA
ASV204;Viridiplantae;Streptophyta;Magnoliopsida;Malvales;Cistaceae;Helianthemum;Helianthemum_nummularium
ASV210;;;;;;;
ASV211;;;;;;;
ASV91;;;;;;;
ASV208;Viridiplantae;Streptophyta;Magnoliopsida;Fagales;Fagaceae;NA;NA
ASV218;Viridiplantae;Streptophyta;Magnoliopsida;Sapindales;Sapindaceae;Acer;NA
ASV228;;;;;;;
ASV197;;;;;;;
ASV219;Viridiplantae;Streptophyta;Magnoliopsida;Asterales;Campanulaceae;NA;NA
ASV214;Viridiplantae;Streptophyta;Magnoliopsida;Boraginales;Boraginaceae;Myosotis;NA
ASV226;;;;;;;
ASV216;Viridiplantae;Streptophyta;Magnoliopsida;Fagales;Fagaceae;Quercus;NA
ASV220;;;;;;;
ASV223;;;;;;;
ASV230;;;;;;;
ASV231;;;;;;;
ASV229;;;;;;;
ASV221;Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Plantaginaceae;Veronica;NA
ASV232;;;;;;;
ASV203;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Cyperaceae;Carex;NA
ASV234;;;;;;;
ASV239;;;;;;;
ASV241;;;;;;;
ASV242;;;;;;;
ASV246;;;;;;;
ASV249;;;;;;;
ASV215;;;;;;;
ASV238;Viridiplantae;Streptophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Ranunculus;Ranunculus_kuepferi
ASV248;;;;;;;
ASV252;;;;;;;
ASV245;Viridiplantae;Streptophyta;Magnoliopsida;Laurales;Lauraceae;NA;NA
ASV251;;;;;;;
ASV240;;;;;;;
ASV233;Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Lathyrus;Lathyrus_setifolius
ASV253;Viridiplantae;Streptophyta;Magnoliopsida;Dipsacales;Adoxaceae;Viburnum;Viburnum_opulus
ASV250;;;;;;;
ASV259;;;;;;;
ASV256;Viridiplantae;Streptophyta;Pinopsida;Cupressales;Taxaceae;Taxus;NA
ASV270;;;;;;;
ASV269;;;;;;;
ASV273;;;;;;;
ASV271;;;;;;;
ASV263;;;;;;;
ASV267;Viridiplantae;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae;Rorippa;NA
ASV275;Viridiplantae;Streptophyta;Magnoliopsida;Ericales;Primulaceae;Soldanella;NA
ASV278;;;;;;;
ASV277;;;;;;;
ASV279;;;;;;;
ASV276;;;;;;;
ASV257;Viridiplantae;Streptophyta;Magnoliopsida;Ericales;Ericaceae;Arctostaphylos;Arctostaphylos_uva-ursi
ASV285;;;;;;;
ASV291;;;;;;;
ASV283;;;;;;;
ASV290;;;;;;;
ASV297;;;;;;;
ASV286;;;;;;;
ASV282;Viridiplantae;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae;NA;NA
ASV281;;;;;;;
ASV288;Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Violaceae;Viola;Viola_tricolor
ASV287;Viridiplantae;Streptophyta;Magnoliopsida;Solanales;Convolvulaceae;NA;NA
ASV300;;;;;;;
ASV294;Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Lentibulariaceae;Pinguicula;NA
ASV303;;;;;;;
ASV289;;;;;;;
ASV302;;;;;;;
ASV296;;;;;;;
ASV299;;;;;;;
ASV255;Viridiplantae;Streptophyta;Magnoliopsida;Caryophyllales;Chenopodiaceae;Atriplex;NA
ASV301;Viridiplantae;Streptophyta;Magnoliopsida;Sapindales;Anacardiaceae;NA;NA
ASV308;;;;;;;
ASV298;;;;;;;
ASV307;;;;;;;
ASV310;;;;;;;
ASV313;;;;;;;
ASV316;;;;;;;
ASV309;;;;;;;
ASV262;Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Violaceae;Viola;NA
ASV293;;;;;;;
ASV319;;;;;;;
ASV320;;;;;;;
ASV268;;;;;;;
ASV323;;;;;;;
ASV312;Viridiplantae;Streptophyta;Magnoliopsida;Asparagales;Asparagaceae;NA;NA
ASV315;;;;;;;
ASV317;;;;;;;
ASV329;;;;;;;
ASV332;;;;;;;
ASV328;;;;;;;
ASV324;;;;;;;
ASV331;;;;;;;
ASV338;;;;;;;
ASV339;;;;;;;
ASV345;;;;;;;
ASV340;;;;;;;
ASV318;Viridiplantae;Streptophyta;Magnoliopsida;Ranunculales;Ranunculaceae;NA;NA
ASV314;;;;;;;
ASV343;;;;;;;
ASV330;;;;;;;
ASV348;Viridiplantae;Streptophyta;Pinopsida;Pinales;Pinaceae;Abies;NA
ASV350;;;;;;;
ASV336;;;;;;;
ASV322;;;;;;;
ASV352;;;;;;;
ASV341;;;;;;;
ASV335;;;;;;;
ASV342;;;;;;;
ASV351;;;;;;;
ASV344;;;;;;;
ASV337;;;;;;;
ASV347;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Cannabaceae;Humulus;NA
ASV353;;;;;;;
ASV365;;;;;;;
ASV346;;;;;;;
ASV349;;;;;;;
ASV366;;;;;;;
ASV368;;;;;;;
ASV358;;;;;;;
ASV364;;;;;;;
ASV367;;;;;;;
ASV355;;;;;;;
ASV359;;;;;;;
ASV356;;;;;;;
ASV363;;;;;;;
ASV304;;;;;;;
ASV306;;;;;;;
ASV321;Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Robinia;NA
ASV361;;;;;;;
ASV260;;;;;;;
ASV360;;;;;;;
ASV325;;;;;;;
ASV274;;;;;;;
ASV311;;;;;;;
ASV354;;;;;;;
ASV362;;;;;;;
ASV326;;;;;;;
ASV333;;;;;;;
ASV327;Viridiplantae;Streptophyta;Magnoliopsida;Saxifragales;Crassulaceae;NA;NA
ASV357;;;;;;;
ASV369;;;;;;;
