ASV;Phylum;Class;Order;Family;Genus;Species
ASV241;;;;;;
ASV228;;;;;;
ASV245;;;;;;
ASV219;;;;;;
ASV235;;;;;;
ASV218;;;;;;
ASV221;;;;;;
ASV220;;;;;;
ASV247;;;;;;
ASV227;;;;;;
ASV230;;;;;;
ASV236;;;;;;
ASV252;;;;;;
ASV234;;;;;;
ASV225;Chordata;Mammalia;Artiodactyla;Bovidae;Bos;Bos_taurus
ASV253;;;;;;
ASV258;;;;;;
ASV255;;;;;;
ASV238;Chordata;Mammalia;Carnivora;Canidae;Canis;Canis_lupus
ASV260;;;;;;
ASV239;;;;;;
ASV264;;;;;;
ASV256;;;;;;
ASV263;;;;;;
ASV259;;;;;;
ASV246;;;;;;
ASV249;;;;;;
ASV262;;;;;;
ASV243;;;;;;
ASV268;;;;;;
ASV272;;;;;;
ASV275;;;;;;
ASV266;;;;;;
ASV271;;;;;;
ASV270;;;;;;
ASV274;;;;;;
ASV265;;;;;;
ASV269;;;;;;
ASV251;;;;;;
ASV273;;;;;;
ASV250;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens
ASV223;;;;;;
ASV231;;;;;;
ASV257;;;;;;
ASV280;;;;;;
ASV287;;;;;;
ASV281;;;;;;
ASV289;;;;;;
ASV293;;;;;;
ASV248;;;;;;
ASV242;;;;;;
ASV283;;;;;;
ASV237;;;;;;
ASV291;;;;;;
ASV288;;;;;;
ASV294;;;;;;
ASV278;;;;;;
ASV286;;;;;;
ASV279;;;;;;
ASV276;;;;;;
ASV282;;;;;;
ASV267;;;;;;
ASV306;;;;;;
ASV290;;;;;;
ASV292;;;;;;
ASV304;;;;;;
ASV285;;;;;;
ASV310;;;;;;
ASV299;;;;;;
ASV316;;;;;;
ASV311;;;;;;
ASV307;;;;;;
ASV297;;;;;;
ASV277;;;;;;
ASV320;;;;;;
ASV318;;;;;;
ASV315;;;;;;
ASV296;;;;;;
ASV305;;;;;;
ASV314;;;;;;
ASV323;;;;;;
ASV330;;;;;;
ASV284;;;;;;
ASV329;;;;;;
ASV325;;;;;;
ASV303;;;;;;
ASV332;;;;;;
ASV331;;;;;;
ASV301;;;;;;
ASV333;;;;;;
ASV302;;;;;;
ASV298;;;;;;
ASV334;;;;;;
ASV337;;;;;;
ASV327;;;;;;
ASV343;;;;;;
ASV322;;;;;;
ASV342;;;;;;
ASV319;;;;;;
ASV324;;;;;;
ASV328;;;;;;
ASV351;;;;;;
ASV340;;;;;;
ASV350;;;;;;
ASV309;;;;;;
ASV326;;;;;;
ASV321;;;;;;
ASV344;;;;;;
ASV338;;;;;;
ASV348;;;;;;
ASV347;;;;;;
ASV308;;;;;;
ASV357;;;;;;
ASV339;;;;;;
ASV341;;;;;;
ASV362;;;;;;
ASV354;;;;;;
ASV312;;;;;;
ASV363;;;;;;
ASV359;;;;;;
ASV352;;;;;;
ASV353;;;;;;
ASV313;;;;;;
