"","E1A_BHUM","E1B_BHUM","E1C_BHUM","E2A_BHUM","E2B_BHUM","E2C_BHUM","E3A_BHUM","E3B_BHUM","E3C_BHUM","E4A_BHUM","E4B_BHUM","E4C_BHUM","S1A_BHUM","S1B_BHUM","S1C_BHUM","S2A_BHUM","S2B_BHUM","S2C_BHUM","S3A_BHUM","S3B_BHUM","S3C_BHUM","S4A_BHUM","S4B_BHUM","S4C_BHUM","E1A","E2A","E3A","E4A","S1A","S2A","S3A","S4A"
"ASV75",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,0,0,0
"ASV76",0,0,0,0,0,0,0,433,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,11,0,0,0,0,0
"ASV77",0,0,0,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV78",0,0,0,147,0,0,40,115,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,8,0,32,23,0,0,0,0,0,0,0,176,27
"ASV8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39154,0,0,0,15624,0,0,0,0,0,0,0,0,0,0,0
"ASV81",0,0,0,0,0,0,0,0,0,25,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,0,0,0,0
"ASV82",3,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,109,0,0,0,0,0,0
"ASV83",0,0,0,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV84",144,147,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0
"ASV85",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,62,0,0,219,0,0,0,0,0,0
"ASV86",0,0,0,0,0,0,0,0,56,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV87",0,0,0,0,0,0,0,186,0,85,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"ASV88",0,0,0,0,0,0,0,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV89",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,259,0,0,0,0
"ASV9",0,0,0,663,666,16725,248,4607,0,2463,807,1020,0,0,0,0,14,0,0,0,0,0,0,0,0,248,198,2035,0,0,0,0
"ASV90",0,0,0,0,0,0,0,29,0,0,123,0,0,0,0,0,0,0,0,0,20,55,0,0,0,0,0,0,0,0,0,47
"ASV92",0,74,36,0,0,0,0,0,0,0,0,0,21,60,0,0,0,0,0,0,0,0,0,0,64,0,0,0,10,0,0,0
"ASV93",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0,0,0
"ASV95",0,0,0,0,25,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,65
"ASV97",0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0
"ASV98",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0,0
"ASV99",0,0,0,32,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,19,80,20,0,0,0,0,21
