"","Phylum","Class","Order","Family","Genus","Species"
"ASV329","","","","","",""
"ASV33","","","","","",""
"ASV330","","","","","",""
"ASV331","","","","","",""
"ASV332","","","","","",""
"ASV333","","","","","",""
"ASV334","","","","","",""
"ASV335","","","","","",""
"ASV336","","","","","",""
"ASV337","","","","","",""
"ASV338","","","","","",""
"ASV339","","","","","",""
"ASV34","","","","","",""
"ASV340","","","","","",""
"ASV341","","","","","",""
"ASV342","","","","","",""
"ASV343","","","","","",""
"ASV344","","","","","",""
"ASV345","","","","","",""
"ASV346","","","","","",""
"ASV347","","","","","",""
"ASV348","","","","","",""
"ASV349","","","","","",""
"ASV35","Chordata","Mammalia","Primates","Hominidae","Homo","Homo_sapiens"
"ASV350","","","","","",""
"ASV351","","","","","",""
"ASV352","","","","","",""
"ASV353","","","","","",""
"ASV354","","","","","",""
"ASV355","","","","","",""
"ASV356","","","","","",""
"ASV357","","","","","",""
"ASV358","","","","","",""
"ASV359","","","","","",""
"ASV360","","","","","",""
"ASV361","","","","","",""
"ASV362","","","","","",""
"ASV363","","","","","",""
"ASV364","","","","","",""
"ASV365","","","","","",""
"ASV366","","","","","",""
"ASV367","","","","","",""
"ASV368","","","","","",""
"ASV369","","","","","",""
"ASV37","","","","","",""
"ASV370","","","","","",""
"ASV371","","","","","",""
"ASV372","","","","","",""
"ASV373","","","","","",""
"ASV374","","","","","",""
"ASV375","","","","","",""
"ASV376","","","","","",""
"ASV377","","","","","",""
"ASV378","","","","","",""
"ASV379","","","","","",""
"ASV38","","","","","",""
"ASV380","","","","","",""
"ASV381","","","","","",""
"ASV383","","","","","",""
"ASV384","","","","","",""
"ASV385","","","","","",""
"ASV386","","","","","",""
"ASV387","","","","","",""
"ASV388","","","","","",""
"ASV389","","","","","",""
"ASV39","","","","","",""
"ASV390","","","","","",""
"ASV391","","","","","",""
"ASV392","","","","","",""
"ASV393","","","","","",""
"ASV395","Chordata","Mammalia","Primates","Hominidae","Homo","Homo_sapiens"
"ASV396","","","","","",""
"ASV397","","","","","",""
"ASV398","","","","","",""
"ASV399","","","","","",""
"ASV4","","","","","",""
"ASV40","","","","","",""
"ASV400","","","","","",""
"ASV401","","","","","",""
"ASV402","","","","","",""
"ASV403","","","","","",""
"ASV404","","","","","",""
"ASV405","","","","","",""
"ASV406","","","","","",""
"ASV407","","","","","",""
"ASV408","","","","","",""
"ASV409","","","","","",""
"ASV410","","","","","",""
"ASV411","","","","","",""
"ASV412","","","","","",""
"ASV413","","","","","",""
"ASV414","","","","","",""
"ASV416","","","","","",""
"ASV417","","","","","",""
"ASV418","","","","","",""
"ASV419","","","","","",""
"ASV42","","","","","",""
"ASV420","","","","","",""
"ASV43","","","","","",""
"ASV44","","","","","",""
"ASV45","Chordata","Mammalia","Carnivora","Felidae","Felis","Felis_catus"
"ASV46","","","","","",""
"ASV47","","","","","",""
"ASV48","Chordata","Mammalia","Rodentia","Cricetidae","Myodes","Myodes_glareolus"
"ASV49","","","","","",""
"ASV50","","","","","",""
"ASV51","","","","","",""
"ASV54","","","","","",""
"ASV55","","","","","",""
"ASV58","","","","","",""
