"","Subgroups","Infragroups","Class","Order","Family","Genus","Species"
"ASV202","","","","","","",""
"ASV204","Viridiplantae","Streptophyta","Magnoliopsida","Malvales","Cistaceae","Helianthemum","Helianthemum_apenninum"
"ASV205","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Urticaceae","Urtica","Urtica_platyphylla"
"ASV207","","","","","","",""
"ASV209","","","","","","",""
"ASV21","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Rubus","Rubus_idaeus"
"ASV210","","","","","","",""
"ASV211","","","","","","",""
"ASV212","","","","","","",""
"ASV213","","","","","","",""
"ASV214","Viridiplantae","Streptophyta","Magnoliopsida","Boraginales","Boraginaceae","Myosotis","Myosotis_lithospermifolia"
"ASV215","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Plantaginaceae","Callitriche","Callitriche_palustris"
"ASV22","Viridiplantae","Streptophyta","Magnoliopsida","Ericales","Ericaceae","Vaccinium","Vaccinium_uliginosum"
"ASV220","","","","","","",""
"ASV223","","","","","","",""
"ASV226","","","","","","",""
"ASV228","","","","","","",""
"ASV229","","","","","","",""
"ASV23","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Cyperaceae","Eriophorum","Eriophorum_chamissonis"
"ASV230","","","","","","",""
"ASV231","","","","","","",""
"ASV232","","","","","","",""
"ASV233","","","","","","",""
"ASV234","","","","","","",""
"ASV24","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Alchemilla","Alchemilla_pinnata"
"ASV240","","","","","","",""
"ASV242","","","","","","",""
"ASV245","Viridiplantae","Streptophyta","Magnoliopsida","Laurales","Lauraceae","Persea","Persea_americana"
"ASV246","","","","","","",""
"ASV249","","","","","","",""
"ASV25","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Atractylis","Atractylis_carduus"
"ASV250","","","","","","",""
"ASV251","","","","","","",""
"ASV252","","","","","","",""
"ASV253","Viridiplantae","Streptophyta","Magnoliopsida","Dipsacales","Adoxaceae","Viburnum","Viburnum_odoratissimum"
