"","Subgroups","Infragroups","Class","Order","Family","Genus","Species"
"ASV234","","","","","","",""
"ASV24","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Alchemilla",NA
"ASV240","","","","","","",""
"ASV242","","","","","","",""
"ASV245","Viridiplantae","Streptophyta","Magnoliopsida","Laurales","Lauraceae",NA,NA
"ASV246","","","","","","",""
"ASV249","","","","","","",""
"ASV25","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae",NA,NA
"ASV250","","","","","","",""
"ASV251","","","","","","",""
"ASV252","","","","","","",""
"ASV253","Viridiplantae","Streptophyta","Magnoliopsida","Dipsacales","Adoxaceae","Viburnum","Viburnum_opulus"
"ASV256","Viridiplantae","Streptophyta","Pinopsida","Cupressales","Taxaceae","Taxus",NA
"ASV257","Viridiplantae","Streptophyta","Magnoliopsida","Ericales","Ericaceae","Arctostaphylos","Arctostaphylos_uva-ursi"
"ASV259","","","","","","",""
"ASV26","","","","","","",""
"ASV260","","","","","","",""
"ASV262","Viridiplantae","Streptophyta","Magnoliopsida","Malpighiales","Violaceae","Viola",NA
"ASV263","","","","","","",""
"ASV268","","","","","","",""
"ASV269","","","","","","",""
"ASV27","","","","","","",""
"ASV271","","","","","","",""
"ASV273","","","","","","",""
"ASV274","","","","","","",""
"ASV275","Viridiplantae","Streptophyta","Magnoliopsida","Ericales","Primulaceae","Soldanella",NA
"ASV276","","","","","","",""
"ASV277","","","","","","",""
"ASV278","","","","","","",""
"ASV279","","","","","","",""
"ASV28","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae",NA,NA
"ASV281","","","","","","",""
"ASV282","Viridiplantae","Streptophyta","Magnoliopsida","Brassicales","Brassicaceae",NA,NA
"ASV283","","","","","","",""
"ASV285","","","","","","",""
"ASV286","","","","","","",""
"ASV287","Viridiplantae","Streptophyta","Magnoliopsida","Solanales","Convolvulaceae",NA,NA
"ASV288","Viridiplantae","Streptophyta","Magnoliopsida","Malpighiales","Violaceae","Viola","Viola_tricolor"
"ASV289","","","","","","",""
"ASV29","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Prunus",NA
"ASV290","","","","","","",""
"ASV291","","","","","","",""
"ASV293","","","","","","",""
"ASV294","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Lentibulariaceae","Pinguicula",NA
"ASV296","","","","","","",""
"ASV297","","","","","","",""
"ASV298","","","","","","",""
"ASV299","","","","","","",""
"ASV3","Viridiplantae","Streptophyta","Pinopsida","Pinales","Pinaceae",NA,NA
"ASV30","Viridiplantae","Streptophyta","Polypodiopsida","Polypodiales","Dryopteridaceae",NA,NA
"ASV300","","","","","","",""
"ASV301","Viridiplantae","Streptophyta","Magnoliopsida","Sapindales","Anacardiaceae",NA,NA
"ASV302","","","","","","",""
"ASV304","","","","","","",""
"ASV306","","","","","","",""
"ASV307","","","","","","",""
"ASV308","","","","","","",""
"ASV309","","","","","","",""
"ASV31","Viridiplantae","Streptophyta","Magnoliopsida","Saxifragales","Saxifragaceae","Saxifraga","Saxifraga_oppositifolia"
"ASV310","","","","","","",""
"ASV312","Viridiplantae","Streptophyta","Magnoliopsida","Asparagales","Asparagaceae",NA,NA
"ASV313","","","","","","",""
"ASV314","","","","","","",""
"ASV315","","","","","","",""
"ASV316","","","","","","",""
"ASV317","","","","","","",""
"ASV318","Viridiplantae","Streptophyta","Magnoliopsida","Ranunculales","Ranunculaceae",NA,NA
"ASV319","","","","","","",""
"ASV32","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Cyperaceae","Carex",NA
"ASV320","","","","","","",""
"ASV321","Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Robinia",NA
"ASV322","","","","","","",""
"ASV323","","","","","","",""
"ASV324","","","","","","",""
"ASV325","","","","","","",""
"ASV326","","","","","","",""
"ASV327","Viridiplantae","Streptophyta","Magnoliopsida","Saxifragales","Crassulaceae",NA,NA
"ASV328","","","","","","",""
"ASV329","","","","","","",""
"ASV33","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Plantaginaceae","Plantago",NA
"ASV330","","","","","","",""
"ASV331","","","","","","",""
"ASV332","","","","","","",""
"ASV333","","","","","","",""
"ASV335","","","","","","",""
"ASV336","","","","","","",""
"ASV337","","","","","","",""
"ASV338","","","","","","",""
"ASV339","","","","","","",""
"ASV34","","","","","","",""
"ASV340","","","","","","",""
"ASV341","","","","","","",""
"ASV342","","","","","","",""
"ASV343","","","","","","",""
"ASV344","","","","","","",""
"ASV345","","","","","","",""
"ASV346","","","","","","",""
"ASV347","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Cannabaceae","Humulus",NA
"ASV348","Viridiplantae","Streptophyta","Pinopsida","Pinales","Pinaceae","Abies",NA
"ASV349","","","","","","",""
"ASV35","","","","","","",""
"ASV350","","","","","","",""
"ASV351","","","","","","",""
"ASV352","","","","","","",""
"ASV353","","","","","","",""
"ASV355","","","","","","",""
"ASV356","","","","","","",""
"ASV357","","","","","","",""
"ASV358","","","","","","",""
"ASV359","","","","","","",""
"ASV36","","","","","","",""
"ASV360","","","","","","",""
"ASV361","","","","","","",""
"ASV362","","","","","","",""
"ASV363","","","","","","",""
"ASV364","","","","","","",""
"ASV365","","","","","","",""
"ASV366","","","","","","",""
"ASV367","","","","","","",""
"ASV368","","","","","","",""
"ASV369","","","","","","",""
"ASV37","","","","","","",""
"ASV38","","","","","","",""
"ASV39","","","","","","",""
"ASV4","","","","","","",""
"ASV40","","","","","","",""
"ASV41","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae",NA,NA
"ASV43","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Campanulaceae",NA,NA
"ASV44","Viridiplantae","Streptophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Silene",NA
"ASV45","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae",NA,NA
"ASV47","Viridiplantae","Streptophyta","Magnoliopsida","Ericales","Ericaceae","Calluna","Calluna_vulgaris"
"ASV48","","","","","","",""
"ASV49","","","","","","",""
"ASV5","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Oleaceae","Fraxinus","Fraxinus_excelsior"
"ASV50","Viridiplantae","Streptophyta","Magnoliopsida","Solanales","Solanaceae",NA,NA
"ASV52","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Potentilla",NA
"ASV54","","","","","","",""
"ASV55","Viridiplantae","Streptophyta","Magnoliopsida","Myrtales","Onagraceae",NA,NA
"ASV58","Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae",NA,NA
"ASV6","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae",NA,NA
"ASV60","","","","","","",""
"ASV61","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Juncaceae","Juncus",NA
"ASV62","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Potentilla",NA
"ASV63","Viridiplantae","Streptophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus",NA
"ASV64","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae",NA,NA
"ASV66","","","","","","",""
"ASV68","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Plantaginaceae","Veronica",NA
"ASV7","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Plantaginaceae","Plantago",NA
